datetime,site_id,depth,observation,variable
2026-07-19 12:00:00,ORMS,0.0,0.9523043156015815,eta
2026-07-19 12:00:00,ORMS,0.0,0.16841201787555,m_ratio
2026-07-19 12:00:00,ORMS,0.0,0.00993692389944344,n2_max
2026-07-19 12:00:00,ORMS,0.0,0.009565544780843878,n2_therm
2026-07-19 12:00:00,ORMS,0.0,0.0005946840930852737,z_fluc
2026-07-19 12:00:00,ORMS,0.0,1.9941258660907977,z_n2
2026-07-19 12:00:00,ORMS,0.0,1.3,z_therm
2026-07-19 12:00:00,ORMS,0.5,23.77414298649186,temperature
2026-07-19 12:00:00,ORMS,1.0,23.10185426488162,temperature
2026-07-19 12:00:00,ORMS,2.0,18.775149264452843,temperature
2026-07-19 12:00:00,ORMS,3.0,17.98236299466646,temperature
2026-07-19 12:00:00,ORMS,4.0,16.456442889710804,temperature
2026-07-20 12:00:00,ORMS,0.0,0.5378097099757126,M1
2026-07-20 12:00:00,ORMS,0.0,0.11337581003313807,M2
2026-07-20 12:00:00,ORMS,0.0,18.133159805050347,Ws
2026-07-20 12:00:00,ORMS,0.0,1.954167599031463e-05,b_var
2026-07-20 12:00:00,ORMS,0.0,0.9596418212029141,eta
2026-07-20 12:00:00,ORMS,0.0,0.2108102697481198,m_ratio
2026-07-20 12:00:00,ORMS,0.0,0.008488316364912289,n2_max
2026-07-20 12:00:00,ORMS,0.0,0.00791321698582602,n2_therm
2026-07-20 12:00:00,ORMS,0.0,0.0005306377439207033,z_fluc
2026-07-20 12:00:00,ORMS,0.0,2.0751475952942946,z_n2
2026-07-20 12:00:00,ORMS,0.0,1.5,z_therm
2026-07-20 12:00:00,ORMS,0.5,23.13040307249224,temperature
2026-07-20 12:00:00,ORMS,1.0,22.546640617082247,temperature
2026-07-20 12:00:00,ORMS,2.0,18.769375812309345,temperature
2026-07-20 12:00:00,ORMS,3.0,18.08436064920153,temperature
2026-07-20 12:00:00,ORMS,4.0,16.400632852323692,temperature
2026-07-21 12:00:00,ORMS,0.0,0.4740900807231745,M1
2026-07-21 12:00:00,ORMS,0.0,0.12489050832072691,M2
2026-07-21 12:00:00,ORMS,0.0,15.994062895999521,Ws
2026-07-21 12:00:00,ORMS,0.0,1.4948183417469809e-05,b_var
2026-07-21 12:00:00,ORMS,0.0,0.9671774552075912,eta
2026-07-21 12:00:00,ORMS,0.0,0.2634320214635573,m_ratio
2026-07-21 12:00:00,ORMS,0.0,0.007092513399067061,n2_max
2026-07-21 12:00:00,ORMS,0.0,0.0063447631393671764,n2_therm
2026-07-21 12:00:00,ORMS,0.0,0.00046801688522712936,z_fluc
2026-07-21 12:00:00,ORMS,0.0,2.17156927927423,z_n2
2026-07-21 12:00:00,ORMS,0.0,1.8,z_therm
2026-07-21 12:00:00,ORMS,0.5,22.486663158492618,temperature
2026-07-21 12:00:00,ORMS,1.0,21.991426969282873,temperature
2026-07-21 12:00:00,ORMS,2.0,18.76360236016585,temperature
2026-07-21 12:00:00,ORMS,3.0,18.186358303736593,temperature
2026-07-21 12:00:00,ORMS,4.0,16.34482281493658,temperature
2026-07-22 12:00:00,ORMS,0.0,0.4118343966104898,M1
2026-07-22 12:00:00,ORMS,0.0,0.13608843134535314,M2
2026-07-22 12:00:00,ORMS,0.0,13.903961663273854,Ws
2026-07-22 12:00:00,ORMS,0.0,1.1121035604529058e-05,b_var
2026-07-22 12:00:00,ORMS,0.0,0.9740204994772489,eta
2026-07-22 12:00:00,ORMS,0.0,0.33044454874434553,m_ratio
2026-07-22 12:00:00,ORMS,0.0,0.005750258860500939,n2_max
2026-07-22 12:00:00,ORMS,0.0,0.005604239241663838,n2_therm
2026-07-22 12:00:00,ORMS,0.0,0.0004068364683995629,z_fluc
2026-07-22 12:00:00,ORMS,0.0,2.28794402491098,z_n2
2026-07-22 12:00:00,ORMS,0.0,1.3,z_therm
2026-07-22 12:00:00,ORMS,0.5,21.842923244493,temperature
2026-07-22 12:00:00,ORMS,1.0,21.436213321483503,temperature
2026-07-22 12:00:00,ORMS,2.0,18.757828908022358,temperature
2026-07-22 12:00:00,ORMS,3.0,18.288355958271662,temperature
2026-07-22 12:00:00,ORMS,4.0,16.28901277754947,temperature
2026-07-23 12:00:00,ORMS,0.0,0.35105881693427904,M1
2026-07-23 12:00:00,ORMS,0.0,0.14696511866215373,M2
